emdb_id,resolution,fitted_pdbs,deposition_date,map_release_date
EMD-9032,4.0,6or5,2018-08-09T00:00:00Z,2018-10-17T00:00:00Z
EMD-9033,4.6,6or6,2018-08-09T00:00:00Z,2018-10-17T00:00:00Z
EMD-4316,4.2,6fti,2018-02-22T00:00:00Z,2018-03-21T00:00:00Z
EMD-4339,3.6,6g1k,2018-03-21T00:00:00Z,2018-05-02T00:00:00Z
EMD-7549,4.1,6cp7,2018-03-13T00:00:00Z,2018-04-11T00:00:00Z
EMD-7609,3.0,6csx,2018-03-21T00:00:00Z,2018-12-05T00:00:00Z
EMD-6916,3.91,,2018-02-23T00:00:00Z,2018-04-18T00:00:00Z
EMD-7548,3.6,6cp6,2018-03-13T00:00:00Z,2018-04-11T00:00:00Z
EMD-7573,3.2,6crv,2018-03-19T00:00:00Z,2018-04-11T00:00:00Z
EMD-7574,3.9,6crw,2018-03-19T00:00:00Z,2018-04-11T00:00:00Z
EMD-7575,3.9,6crx,2018-03-19T00:00:00Z,2018-04-11T00:00:00Z
EMD-7547,4.2,6cp5,2018-03-13T00:00:00Z,2018-04-11T00:00:00Z
EMD-7557,4.7,,2018-03-13T00:00:00Z,2019-01-23T00:00:00Z
EMD-7556,4.7,,2018-03-13T00:00:00Z,2019-01-23T00:00:00Z
EMD-7552,4.7,,2018-03-13T00:00:00Z,2019-01-23T00:00:00Z
EMD-4345,3.3,6g2j,2018-03-23T00:00:00Z,2018-06-06T00:00:00Z
EMD-4264,3.754,6fhs,2018-01-15T00:00:00Z,2018-04-25T00:00:00Z
EMD-7783,3.68,6d03,2018-04-10T00:00:00Z,2018-06-20T00:00:00Z
EMD-7785,3.8,6d05,2018-04-10T00:00:00Z,2018-06-20T00:00:00Z
EMD-7784,3.74,6d04,2018-04-10T00:00:00Z,2018-06-20T00:00:00Z
EMD-4367,4.25,6g9o,2018-04-11T00:00:00Z,2018-05-16T00:00:00Z
EMD-7529,4.6,6cna,2018-03-07T00:00:00Z,2018-10-03T00:00:00Z
EMD-6663,4.85,5h4a,2016-10-31T00:00:00Z,2018-05-23T00:00:00Z
EMD-6856,3.8,5yx9,2017-12-02T00:00:00Z,2018-05-23T00:00:00Z
EMD-4323,4.9,6fvx,2018-03-05T00:00:00Z,2018-08-22T00:00:00Z
EMD-4396,3.6,6gen,2018-04-27T00:00:00Z,2018-10-17T00:00:00Z
EMD-4395,3.6,6gej,2018-04-26T00:00:00Z,2018-10-17T00:00:00Z
EMD-4325,3.34,6fxz,2018-03-09T00:00:00Z,
EMD-8911,3.7,6dt0,2018-06-14T00:00:00Z,2018-07-11T00:00:00Z
EMD-7985,3.94,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-7996,3.78,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-7992,4.2,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-7990,4.22,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-7993,3.8,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-7995,3.66,,2018-06-11T00:00:00Z,2018-08-01T00:00:00Z
EMD-8912,3.11,6du8,2018-06-20T00:00:00Z,2018-07-25T00:00:00Z
EMD-6839,3.6,5ylz,2017-10-20T00:00:00Z,2018-07-18T00:00:00Z
